               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.041097,            0.049054,                   0,             0.88873,             0.83166,             0.89249,             0.45442,            0.037836,            0.042099,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.043239,            0.050607,                   0,             0.90544,             0.82515,             0.89483,              0.4563,            0.038199,            0.042198,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.042539,            0.052529,                   0,             0.88293,             0.83988,             0.88722,             0.44769,              0.0388,            0.042305,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.041355,            0.049989,                   0,             0.91117,             0.81612,             0.89034,             0.46136,            0.037965,            0.042439,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.041808,            0.048728,                   0,             0.91276,             0.80255,             0.88793,             0.44534,            0.038859,            0.042572,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.041498,            0.050441,                   0,              0.9014,             0.80157,             0.88543,             0.45486,            0.038131,            0.042606,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.042679,            0.052692,                   0,             0.90632,             0.81733,             0.89113,             0.44564,            0.039365,             0.04221,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.042899,            0.054847,                   0,              0.9018,             0.83792,             0.89033,             0.46255,            0.037368,             0.04165,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.041276,            0.053112,                   0,              0.9003,             0.84271,             0.89499,             0.45484,            0.037845,            0.041777,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.042016,             0.05167,                   0,             0.88644,             0.84349,             0.89244,             0.45752,            0.037721,            0.041357,                   0,            0.000694,            0.000694,            0.000694
                  49,              0.0403,            0.051703,                   0,             0.90594,             0.82315,             0.89512,             0.45955,            0.037638,            0.041535,                   0,            0.000496,            0.000496,            0.000496
