               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.032153,            0.056005,                   0,             0.92416,             0.85265,             0.91357,              0.4961,            0.034351,            0.045646,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.031479,            0.055462,                   0,              0.9067,             0.87328,             0.92027,             0.50034,            0.032989,            0.042997,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.031562,            0.054253,                   0,             0.90408,             0.87028,             0.91577,             0.49655,            0.033891,            0.043662,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.031364,            0.052328,                   0,             0.91004,             0.87443,              0.9203,             0.50252,            0.033368,            0.044381,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.031319,            0.053768,                   0,             0.90652,             0.86692,             0.91576,             0.49425,            0.033654,            0.043877,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.030901,            0.053277,                   0,              0.9132,             0.88878,             0.92959,              0.5094,            0.033176,            0.043821,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.030907,            0.053103,                   0,             0.90551,             0.88484,             0.91914,             0.50319,            0.033615,            0.043931,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.030918,            0.052444,                   0,             0.91704,             0.86935,             0.92122,             0.50417,            0.033335,            0.044316,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.030694,            0.053195,                   0,             0.91481,             0.87328,             0.92128,             0.49853,            0.033683,            0.042911,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.03015,            0.053166,                   0,             0.90486,             0.88409,             0.92125,             0.50123,            0.033657,            0.043967,                   0,            0.000694,            0.000694,            0.000694
                  49,             0.02977,            0.051484,                   0,              0.9109,             0.87623,             0.92079,             0.50393,            0.033519,             0.04342,                   0,            0.000496,            0.000496,            0.000496
